Time (ms),x1,x2,x3,x4,x5
0,-0.018491,-0.32217,0.039232,-0.38318,0.011324
200,0.15436,0.35713,0.013492,0.017197,-0.32424
400,0.12287,0.064029,0.03102,0.24879,0.42214
600,0.25204,0.18795,0.025052,0.066901,-0.76769
800,0.27945,0.45323,0.1336,0.050489,-0.58096
1000,0.070755,0.69891,0.12827,-0.0044147,0.69911
1200,0.13483,-0.067715,-0.16896,-0.082597,-0.078735
1400,0.068717,-0.53947,-0.18797,-0.044558,-0.94472
1600,-0.14411,0.30424,-0.04206,0.32907,-0.43407
1800,-0.075542,-0.11707,0.014228,0.40292,1.5627
2000,0.14456,-0.90482,0.0073122,-0.31854,1.8743
2200,0.10959,-0.21283,0.13139,-0.38805,0.041118
2400,-0.12035,0.088317,0.026608,-0.038463,-0.084476
2600,-0.15158,-0.38809,-0.20003,0.1519,0.61306
2800,-0.17307,-0.10966,-0.16041,-0.17947,0.069151
3000,-0.016189,0.052238,0.036882,-0.081343,-1.1239
3200,0.011846,-0.48043,0.29268,0.31519,-0.95308
3400,-0.12054,0.75621,0.10689,0.13229,-0.88746
3600,0.11469,-0.35306,-0.18005,-0.14999,0.5069
3800,0.26285,0.73776,-0.092316,-0.28799,2.7179
4000,0.2969,0.51713,0.24865,0.25797,3.201
4200,-0.24064,0.87794,0.28853,0.3128,2.2556
4400,-0.27842,0.50381,-0.37066,-0.23816,0.90185
4600,-0.19432,-0.42027,-0.51111,-0.25089,-1.5393
4800,-0.14832,0.21492,-0.03686,0.085802,-4.5448
5000,-0.19702,-0.29983,0.47269,0.18545,-3.6214
5200,-0.057198,-0.56454,0.28237,-0.10139,-1.376
5400,-0.12254,-0.69342,-0.11835,-0.013088,0.26152
5600,-0.19662,0.1414,-0.39631,0.023953,0.29751
5800,-0.14914,-0.67492,-0.29029,0.073063,-1.0819
6000,-0.07986,-0.44194,0.10959,-0.22009,-2.2292
6200,0.11654,0.40207,0.28659,-0.23766,-2.15
6400,0.082175,-0.20683,0.25269,0.13217,-0.84072
6600,-0.45501,-0.08368,-0.19916,0.10542,0.51743
6800,-0.47504,-0.16054,-0.76259,-0.19717,1.6806
7000,-0.39793,-0.18762,-0.47016,-0.015589,2.2428
7200,-0.34872,-1.0206,0.41023,0.15107,1.9463
7400,-0.14777,-0.66749,0.75836,-0.14448,1.3476
7600,-0.005711,0.30933,0.26293,-0.30244,0.088143
7800,0.22723,0.54208,-0.42041,0.0012548,-0.54923
8000,0.13521,0.58067,-0.32266,0.18201,-0.40735
8200,0.29294,-0.51969,0.065926,-0.17101,0.11504
8400,0.011803,-0.36976,0.53744,-0.3082,1.5353
8600,-0.0094263,-0.2453,0.1885,-0.10226,1.5583
8800,0.13038,0.025932,-0.28351,-0.11614,1.8656
9000,0.25438,-0.10838,-0.19331,-0.26152,0.6722
9200,0.22287,0.038555,0.16511,0.14078,-0.41153
9400,0.0059924,0.41812,0.32122,0.54605,0.65091
9600,-0.045529,0.067648,-0.10064,-0.065752,0.6638
9800,0.28013,-0.75948,-0.40285,-0.12902,0.56004
10000,0.22549,-0.23548,0.15841,-0.12349,-0.4625
10200,0.13526,0.72643,0.43329,0.33856,-1.6823
10400,0.13116,0.12818,0.045216,0.17811,-1.0442
10600,-0.036862,-1.1061,-0.30123,-0.039145,-0.53237
10800,0.2,-0.77997,-0.31776,-0.33197,0.22731
11000,-0.050439,-0.092632,0.2665,0.04037,1.2541
11200,0.11242,-0.070074,0.24635,0.2042,2.7174
11400,0.30426,-0.27853,-0.0083122,0.33526,3.0545
11600,-0.20079,0.13359,-0.093141,-0.049765,2.9873
11800,-0.1989,-0.094047,-0.49564,-0.33818,1.1962
12000,-0.02076,0.11217,-0.29645,-0.19456,0.050312
12200,0.025635,0.4676,0.33578,-0.17344,-0.89998
12400,0.34534,0.11986,0.41803,0.26965,-1.4078
12600,0.18089,-0.28178,0.21882,0.32319,-1.3514
12800,0.44474,0.46347,-0.26514,-0.092517,-0.52376
13000,0.49546,0.77484,-0.10491,-0.027185,0.056792
13200,0.60436,0.17415,0.18466,0.20144,1.1218
13400,0.58115,-0.18509,0.41256,-0.044564,1.5054
13600,0.33557,0.18481,0.19569,-0.31017,-0.047275
13800,-0.02783,0.30027,-0.29868,-0.11187,-1.6687
14000,-0.2614,0.26404,-0.59321,0.36858,-0.86264
14200,-0.19436,-0.57002,-0.34941,0.38381,-0.52101
14400,-0.17874,-0.10885,0.23659,-0.13621,-1.4964
14600,0.076286,0.012152,0.43418,-0.24437,-1.0646
14800,0.54202,0.89701,0.25985,-0.019209,0.25741
15000,0.63017,1.1035,0.17063,0.22439,0.72849
15200,0.42146,0.59912,0.020159,0.28733,0.60185
15400,0.35004,-0.027368,-0.2696,-0.21828,-0.48182
15600,0.4916,0.79711,-0.24015,-0.28288,-1.5524
15800,-0.1353,0.31693,0.24633,0.078483,-1.4184
16000,-0.28937,-0.15233,0.0026868,0.37462,-1.0993
16200,-0.17858,-1.1555,-0.38142,0.25387,-0.18722
16400,-0.083271,-0.93802,-0.23373,-0.24733,0.42286
16600,-0.086211,-0.22486,0.25405,-0.22899,0.22163
16800,0.203,0.57391,0.46905,0.041013,0.41885
17000,-0.033253,0.95922,0.23304,0.34293,-0.022143
17200,-0.1264,0.2278,-0.28097,0.11403,0.25231
17400,0.02264,-0.44868,-0.52642,-0.1931,-0.27555
17600,-0.13272,-0.7794,0.024668,-0.23013,0.29897
17800,0.046818,-0.056243,0.2404,-0.074919,-0.39022
18000,-0.13476,-0.45872,0.27817,0.0076565,0.062457
18200,-0.056547,-0.83368,-0.3035,0.19997,0.89332
18400,0.020963,-0.4292,-0.37479,0.20337,1.1675
18600,-0.33001,0.30951,0.09506,0.24393,1.6079
18800,-0.36724,0.82947,0.067159,0.029358,1.6375
19000,-0.38193,0.40379,-0.1371,-0.45417,1.4821
19200,-0.069835,0.58526,-0.25196,-0.23025,-0.39204
19400,0.043519,-0.68205,0.099668,0.3249,-0.94974
19600,-0.20553,-0.069952,0.41923,0.59127,0.71908
19800,0.094419,0.22819,-0.0014533,0.12695,2.2483
20000,-0.19181,0.80381,-0.17125,-0.37264,1.5697
20200,-0.35739,-0.26938,-0.35248,-0.28022,-0.58042
20400,0.067313,0.1547,-0.10164,0.068261,-1.3518
20600,0.36518,-0.28359,0.56346,0.096228,-0.96944
20800,-0.0096326,0.071587,0.79912,0.11415,-0.2191
21000,-0.12556,0.17359,-0.18509,-0.047441,0.762
21200,-0.32984,0.41406,-0.95861,-0.0044296,1.5348
21400,-0.17804,-0.049839,-0.67637,0.12946,1.9625
21600,0.040511,-1.0033,0.47162,-0.034071,1.1633
21800,-0.17807,-0.32301,0.99437,0.025094,-0.077294
22000,-0.42132,-0.0076483,0.057407,-0.089771,-1.2475
22200,-0.14669,-0.95186,-1.1411,-0.054464,-1.6997
22400,0.037249,-0.28491,-0.71952,0.14257,-1.7252
22600,-0.24855,0.05587,0.54115,0.104,-0.40091
22800,-0.1188,0.21622,0.77985,-0.19467,1.112
23000,-0.067817,0.68382,0.12464,-0.054568,0.96505
23200,0.21558,0.51421,-0.69654,0.15573,0.76176
23400,0.67308,-0.40808,-0.41623,0.05805,1.0271
23600,0.55424,-0.16715,0.7543,-0.40294,1.5144
23800,0.48433,0.12558,0.8542,-0.25143,0.43018
24000,1.5307e-05,0.51939,-0.1373,0.25451,0.025954
24200,-0.004728,0.30375,-1.1863,0.21727,-0.095965
24400,-0.39236,-0.83222,-0.73004,0.13659,1.0971
24600,-0.060299,-0.5965,0.27392,-0.17462,1.7216
24800,0.13847,0.23831,1.088,-0.48672,1.724
25000,-0.12854,0.22136,0.67768,-0.17929,2.8659
25200,-0.43044,-0.10727,-0.57549,0.20606,2.0936
25400,-0.089294,-0.18442,-1.2109,0.27156,0.36681
25600,0.037288,0.54351,-0.075088,-0.017739,-0.042557
25800,0.29315,-0.10209,1.07,-0.19682,-1.1023
26000,0.22959,-0.23439,1.1423,-0.10795,-1.1627
26200,0.31616,0.26924,-0.23269,-0.12174,-1.5062
26400,0.51017,0.38523,-1.1472,0.23608,-1.4074
26600,0.24595,0.45087,-0.4164,0.03679,-1.5049
26800,0.24559,0.17748,0.52197,-0.010668,-0.53478
27000,-0.042092,0.20078,0.65734,0.14961,0.56585
27200,-0.09078,-0.11008,-0.16841,0.38975,0.65821
27400,-0.036922,-0.71763,-0.66427,-0.025132,0.33245
27600,-0.11822,0.59043,-0.28818,-0.073749,-0.4863
27800,-0.18768,0.64264,0.26236,0.27647,-0.82094
28000,0.34274,-0.42898,0.3912,0.33946,-0.57945
28200,0.2672,-0.12751,0.5362,-0.056297,-0.29768
28400,-0.032043,-0.25476,0.019065,-0.012584,0.11955
28600,-0.25679,0.02724,-0.68147,0.043605,0.31207
28800,-0.004229,0.1087,-0.67237,0.00016999,1.5597
29000,-0.073067,0.11925,0.29954,0.15641,2.3519
29200,-0.18738,-0.023432,0.72429,0.44218,1.1987
29400,0.0054382,-0.083882,0.15029,0.18718,0.64345
29600,-0.1378,-0.038867,-0.48349,-0.26025,-0.86022
29800,-0.18714,-0.22051,-0.61072,-0.094539,-1.2544
30000,-0.24842,-0.40503,-0.09176,-0.080293,0.074972
30200,-0.45641,-0.092412,0.45803,0.34621,0.17959
30400,-0.38443,0.38948,0.20093,0.015707,-0.43497
30600,-0.20302,0.26058,-0.28645,-0.090437,-2.2052
30800,0.058794,-0.35092,-0.19107,0.3225,-2.8843
31000,-0.44043,-0.41863,0.26693,0.29476,-2.3395
31200,-0.5518,-0.35301,-0.010163,-0.29043,-2.2545
31400,-0.54711,0.44527,-0.42097,-0.32338,-0.55979
31600,-0.2503,-0.0033608,-0.38193,0.059015,-0.19874
31800,-0.045643,-0.74776,0.19084,0.43799,-0.28553
32000,0.45295,0.03103,0.62607,0.2464,1.1989
32200,0.37645,0.74987,0.72006,-0.17482,2.4488
32400,0.70933,0.42298,-0.020551,-0.07235,2.0449
32600,0.72683,0.13609,-0.36927,0.18859,1.296
32800,0.79514,-0.14398,-0.1107,-0.028541,1.1326
33000,0.56447,-0.2529,0.40709,-0.2557,0.67504
33200,0.21784,0.30669,0.29651,0.20905,0.84541
33400,0.28646,0.19544,-0.34407,0.3651,0.7792
33600,0.17968,-0.45101,-0.4641,-0.14744,1.1971
33800,0.2678,-0.47593,-0.086042,-0.27945,0.045142
34000,0.068093,-0.20867,0.49462,-0.002656,-0.0056637
34200,-0.10915,-0.079881,0.225,0.14063,-0.32248
34400,-0.23313,-0.15005,-0.36796,0.10963,0.14337
34600,-0.083368,-0.65248,-0.54254,-0.12126,-0.87268
34800,-0.31664,-1.1484,0.12049,-0.19808,-1.3352
35000,-0.18618,0.01332,0.34948,0.024981,-0.72495
35200,-0.019193,0.16772,0.24635,0.47543,0.2162
35400,-0.14499,-0.15514,-0.01635,0.22333,0.1876
35600,-0.19303,-0.092944,-0.32048,-0.21612,-1.8852
