Time,x,y
0,0.038287,-0.033112
1,0.0246885,-0.0032935
2,0.01109,0.026525
3,0.0091578,0.01412725
4,0.0072256,0.0017295
5,0.0373598,0.01154925
6,0.067494,0.021369
7,0.040256,0.0380295
8,0.013018,0.05469
9,0.0135,0.02301645
10,0.013982,-0.0086571
11,0.043191,-0.01948255
12,0.0724,-0.030308
13,0.0566415,0.006445
14,0.040883,0.043198
15,0.0402855,0.02290035
16,0.039688,0.0026027
17,0.0498565,0.01459235
18,0.060025,0.026582
19,0.065265,0.007498
20,0.070505,-0.011586
21,0.059918,-0.015903
22,0.049331,-0.02022
23,0.064441,-0.0153785
24,0.079551,-0.010537
25,0.1055205,0.0241275
26,0.13149,0.058792
27,0.15088,0.03350005
28,0.17027,0.0082081
29,0.13774,0.01335855
30,0.10521,0.018509
31,0.127025,0.032856
32,0.14884,0.047203
33,0.17007,0.0565385
34,0.1913,0.065874
35,0.17084,0.0643225
36,0.15038,0.062771
37,0.144275,0.0441705
38,0.13817,0.02557
39,0.15636,0.01735845
40,0.17455,0.0091469
41,0.17518,0.03298295
42,0.17581,0.056819
43,0.158385,0.0256781
44,0.14096,-0.0054628
45,0.16527,0.0095056
46,0.18958,0.024474
47,0.172545,0.0432635
48,0.15551,0.062053
49,0.16405,0.0607305
50,0.17259,0.059408
51,0.1891,0.047073
52,0.20561,0.034738
53,0.222785,0.068924
54,0.23996,0.10311
55,0.238105,0.060829
56,0.23625,0.018548
57,0.22819,0.0501845
58,0.22013,0.081821
59,0.24256,0.053862
60,0.26499,0.025903
61,0.270545,0.0408085
62,0.2761,0.055714
63,0.254345,0.0765975
64,0.23259,0.097481
65,0.22646,0.0748685
66,0.22033,0.052256
67,0.25483,0.0390765
68,0.28933,0.025897
69,0.270335,0.0509355
70,0.25134,0.075974
71,0.27285,0.062828
72,0.29436,0.049682
73,0.263565,0.0435925
74,0.23277,0.037503
75,0.23019,0.066887
76,0.22761,0.096271
77,0.23042,0.0865875
78,0.23323,0.076904
79,0.25799,0.0627485
80,0.28275,0.048593
81,0.279585,0.045522
82,0.27642,0.042451
83,0.273985,0.0484735
84,0.27155,0.054496
85,0.292715,0.052158
86,0.31388,0.04982
87,0.301025,0.060276
88,0.28817,0.070732
89,0.302745,0.103076
90,0.31732,0.13542
91,0.330505,0.1155015
92,0.34369,0.095583
93,0.34021,0.0823645
94,0.33673,0.069146
95,0.299635,0.0796295
96,0.26254,0.090113
97,0.31075,0.1027065
98,0.35896,0.1153
99,0.35691,0.110235
100,0.35486,0.10517
101,0.34422,0.109245
102,0.33358,0.11332
103,0.303975,0.127025
104,0.27437,0.14073
105,0.324435,0.1176125
106,0.3745,0.094495
107,0.34663,0.1139125
108,0.31876,0.13333
109,0.321145,0.1047205
110,0.32353,0.076111
111,0.33071,0.0721865
112,0.33789,0.068262
113,0.34157,0.0833455
114,0.34525,0.098429
115,0.3672,0.1233045
116,0.38915,0.14818
117,0.385525,0.127205
118,0.3819,0.10623
119,0.364485,0.136985
120,0.34707,0.16774
121,0.36862,0.15038
122,0.39017,0.13302
123,0.367235,0.12067
124,0.3443,0.10832
125,0.328695,0.13881
126,0.31309,0.1693
127,0.327405,0.16883
128,0.34172,0.16836
129,0.34374,0.166975
130,0.34576,0.16559
131,0.35416,0.1369
132,0.36256,0.10821
133,0.365225,0.11065
134,0.36789,0.11309
135,0.380115,0.138815
136,0.39234,0.16454
137,0.37664,0.161615
138,0.36094,0.15869
139,0.390895,0.14925
140,0.42085,0.13981
141,0.388405,0.164575
142,0.35596,0.18934
143,0.38102,0.165765
144,0.40608,0.14219
145,0.415435,0.169135
146,0.42479,0.19608
147,0.409715,0.171865
148,0.39464,0.14765
149,0.411865,0.1493
150,0.42909,0.15095
151,0.3877,0.16522
152,0.34631,0.17949
153,0.372395,0.16146
154,0.39848,0.14343
155,0.371855,0.14769
156,0.34523,0.15195
157,0.35378,0.136935
158,0.36233,0.12192
159,0.376065,0.154205
160,0.3898,0.18649
161,0.3821,0.17783
162,0.3744,0.16917
163,0.39047,0.174345
164,0.40654,0.17952
165,0.396315,0.187995
166,0.38609,0.19647
167,0.406885,0.168595
168,0.42768,0.14072
169,0.42252,0.173595
170,0.41736,0.20647
171,0.400875,0.209815
172,0.38439,0.21316
173,0.37652,0.18353
174,0.36865,0.1539
175,0.36648,0.176595
176,0.36431,0.19929
177,0.37445,0.180975
178,0.38459,0.16266
179,0.40053,0.160325
180,0.41647,0.15799
181,0.42355,0.153875
182,0.43063,0.14976
183,0.40675,0.17545
184,0.38287,0.20114
185,0.38417,0.195735
186,0.38547,0.19033
187,0.395295,0.206
188,0.40512,0.22167
189,0.39456,0.194585
190,0.384,0.1675
191,0.40079,0.163945
192,0.41758,0.16039
193,0.41198,0.174145
194,0.40638,0.1879
195,0.424505,0.191125
196,0.44263,0.19435
197,0.422785,0.210835
198,0.40294,0.22732
199,0.42535,0.195595
200,0.44776,0.16387
201,0.42539,0.16091
202,0.40302,0.15795
203,0.398735,0.18776
204,0.39445,0.21757
205,0.43628,0.188655
206,0.47811,0.15974
207,0.460735,0.166095
208,0.44336,0.17245
209,0.43695,0.201375
210,0.43054,0.2303
211,0.415785,0.22236
212,0.40103,0.21442
213,0.42374,0.21677
214,0.44645,0.21912
215,0.42496,0.23342
216,0.40347,0.24772
217,0.410275,0.24798
218,0.41708,0.24824
219,0.41277,0.234655
220,0.40846,0.22107
221,0.41849,0.21081
