Time (ms),x1,x2
0,0.53767,0.6737
200,1.8339,-0.66911
400,-2.3707,-1.14
600,-0.98324,-0.47852
800,0.52065,1.3441
1000,0.22949,0.0079458
1200,-0.978,-2.1364
1400,-1.5932,-0.094312
1600,3.9253,1.2574
1800,5.5761,0.81427
2000,0.16251,-1.1136
2200,0.87951,-0.71594
2400,0.98897,-1.8884
2600,-0.87886,0.4721
2800,1.2512,3.5059
3000,2.7366,1.7134
3200,0.51725,-1.3798
3400,-0.50194,-2.0244
3600,0.23967,0.67753
3800,2.8975,2.067
4000,2.9584,0.17447
4200,-1.3083,-2.4317
4400,-2.1698,-1.2213
4600,1.1417,1.4042
4800,2.851,0.91769
5000,2.0275,-0.011224
5200,0.59273,1.8008
5400,0.79323,-0.77411
5600,-0.76959,-1.5446
5800,-2.0253,-1.2865
6000,-0.050512,2.1522
6200,1.2589,3.0847
6400,0.74324,-2.4589
6600,-3.7191,-1.2618
6800,-4.4803,0.50388
7000,1.2475,1.3874
7200,2.4899,1.112
7400,0.21499,-0.62912
7600,0.073113,1.2173
7800,-0.62152,3.621
8000,1.6823,0.2508
8200,-0.71707,-4.7287
8400,-3.7145,-1.9842
8600,-0.52701,2.3396
8800,2.0986,1.5245
9000,1.0461,-2.542
9200,-2.5553,-1.904
9400,-0.91966,3.569
9600,4.4964,1.8781
9800,2.9788,-2.5723
10000,-3.1233,-1.1077
10200,-1.5141,2.9384
10400,1.3048,2.2532
10600,0.11313,-0.64872
10800,-1.5779,-1.1264
11000,0.34981,-0.20071
11200,-0.0040753,1.2698
11400,1.269,0.24239
11600,-0.05545,-1.843
11800,-0.54568,-0.11207
12000,-0.63749,1.5082
12200,0.9873,0.35501
12400,0.72015,-0.80837
12600,0.48335,0.46118
12800,2.2397,1.178
13000,1.5253,0.179
13200,-1.6753,-0.6089
13400,-2.2153,-0.27465
13600,-1.5613,-0.36974
13800,2.02,0.89558
14000,1.2795,1.9734
14200,1.879,-0.65855
14400,-0.94705,0.15149
14600,0.50346,0.39604
14800,-0.15742,-0.24613
15000,-1.8966,-1.2883
15200,-2.9529,-0.98191
15400,-0.48566,-0.21693
15600,0.45985,1.0744
15800,0.92384,2.0929
16000,2.7321,0.29585
16200,0.56962,-0.73135
16400,-0.75105,0.88576
16600,2.0859,-1.6487
16800,-1.3283,-1.3708
17000,-0.55194,1.2608
17200,2.3108,2.1921
17400,1.8212,-1.6558
17600,-1.5539,-3.2563
17800,-3.7687,1.1385
18000,-0.24522,2.83
18200,2.2862,0.49133
18400,0.89769,-3.0773
18600,0.13673,-2.95
18800,-1.6259,2.338
19000,2.3262,4.2547
19200,3.2163,1.0381
19400,-2.087,-4.6246
19600,-5.5694,-3.5547
19800,-4.2435,1.1594
20000,2.4903,3.1499
20200,2.698,-0.59805
20400,-0.99738,-1.3852
20600,-2.2135,-1.3922
20800,-0.80285,-1.0519
21000,-0.6582,1.0035
21200,1.5104,2.3355
21400,2.7086,-0.90498
21600,0.92557,-3.4055
21800,-2.3875,-0.447
22000,-2.2292,0.95385
22200,-0.40726,0.6611
22400,1.7188,0.26363
22600,-0.3831,-0.23205
22800,0.19607,-2.1898
23000,-1.1609,-1.0081
23200,1.1033,1.1473
23400,-0.080991,2.9643
23600,1.1653,0.88626
23800,-1.2909,-2.1626
24000,0.29027,-0.04843
24200,2.0306,0.67083
24400,2.6221,-0.10827
24600,-0.75958,0.84341
24800,-0.66318,1.842
25000,0.56623,0.60825
25200,1.1465,-0.80039
25400,-0.73609,-1.3128
25600,-0.42103,0.99136
25800,-0.85392,0.51953
26000,-0.64409,-0.062707
26200,-1.1621,-0.15259
26400,-1.9948,1.1437
26600,0.80409,0.039316
26800,0.57263,-0.26702
27000,-0.10093,0.68162
27200,-0.90463,-0.48028
27400,0.17698,-0.53313
27600,0.42082,1.8215
27800,1.3222,1.0854
28000,0.49877,-1.4402
28200,-1.7692,-0.84373
28400,-2.5722,0.62396
28600,-0.18641,1.3053
28800,0.27265,-0.24234
29000,-1.5246,-1.1353
29200,-2.5185,0.31408
29400,-0.56208,2.3648
29600,-0.19405,0.91004
29800,0.69015,0.029583
30000,0.49162,-2.7475
30200,-1.8965,-1.2972
30400,-0.70072,2.0449
30600,1.2511,0.81603
30800,1.4126,-2.667
31000,-2.0118,-0.8359
31200,-1.3201,2.4956
31400,3.307,1.7068
31600,1.5585,-1.0891
31800,-2.0721,-2.5627
32000,-2.7925,-0.39522
32200,-0.8021,1.8249
32400,0.55308,0.17582
32600,2.3008,-1.0753
32800,1.6421,1.902
33000,2.2657,0.94861
33200,-0.77601,-0.58955
33400,-2.4211,-1.9702
33600,-2.1331,1.2201
33800,2.0646,0.97304
34000,0.11352,-0.47548
34200,-3.4194,-1.5397
34400,-3.7272,0.4305
34600,0.44375,1.3722
34800,2.1027,0.023284
35000,0.67139,1.8583
35200,1.0092,-0.091188
35400,-0.35404,-1.5609
35600,-1.8757,2.2877
35800,2.4083,0.78832
36000,-0.3865,-1.0407
36200,-1.225,-2.0193
36400,-2.2587,1.2574
36600,0.69455,2.3202
36800,2.4035,0.34227
37000,1.1731,-2.0323
37200,-2.6886,-0.63833
37400,0.31668,2.9069
37600,3.6147,-0.89237
37800,-0.47274,-4.2265
38000,-3.7089,-0.13859
38200,-0.01301,2.6849
38400,2.3683,0.61998
38600,0.33301,-3.4588
38800,-2.9583,-2.4385
39000,-0.74727,1.6313
39200,3.9371,1.7144
39400,2.7387,-1.6572
39600,-1.7475,-2.2905
39800,-1.562,-0.30403
40000,0.6113,3.0831
40200,1.8069,0.17972
40400,0.4423,-0.59461
40600,-0.36552,-0.69659
40800,-0.34926,-1.185
41000,-0.10224,-0.41692
41200,0.47253,1.7574
41400,0.66496,1.9167
41600,0.64785,-0.67072
41800,-1.2561,-1.4472
42000,-1.9087,0.73533
42200,2.2634,-0.080703
42400,0.060765,-1.1942
42600,-1.7158,-2.1238
42800,-2.4195,-0.13091
43000,-1.0409,2.6091
43200,1.754,1.6049
43400,0.71551,0.68203
43600,1.3009,-0.91257
43800,-0.78336,-2.9759
44000,-3.3558,1.5267
44200,2.6768,4.121
44400,5.2506,-0.56768
44600,-0.71053,-3.2445
44800,-4.8846,0.26025
45000,-0.77637,3.0584
45200,2.5472,1.4057
45400,1.2108,-2.1377
45600,-2.3449,-1.8047
45800,-1.1449,1.2569
46000,2.0046,1.0311
46200,-0.00080258,0.72682
46400,-1.2529,-0.60054
46600,-1.9532,-0.075137
46800,-0.8509,-0.39704
47000,-0.51817,-1.1342
47200,-0.65977,-0.1136
47400,-2.8153,0.62054
47600,-0.97135,1.4719
47800,2.1991,0.55119
48000,-0.19572,-0.47162
48200,-0.13498,-2.0274
48400,-0.89505,-1.1986
48600,-0.3881,1.4644
48800,1.7107,1.0503
49000,-0.65367,0.43369
49200,-0.8047,0.631
49400,1.681,-0.73845
49600,0.16239,0.1488
49800,0.16966,2.0308
50000,0.66329,0.8112
50200,-0.043929,0.24206
50400,-0.072917,0.48609
50600,0.64945,0.16628
50800,-0.17649,0.53781
51000,-0.12698,0.22273
51200,1.949,-0.77832
51400,-2.0873,-0.053219
51600,1.2788,0.64292
51800,1.7379,-0.12918
52000,1.0919,1.2179
52200,-0.67077,0.69
52400,-1.0809,1.963
52600,0.52186,-0.25925
52800,-0.11905,-1.0839
53000,-2.4772,1.4649
53200,0.96351,4.0358
53400,1.9071,0.34243
53600,-0.73829,-3.9162
53800,-2.9027,-0.64541
54000,0.42833,1.6194
54200,3.2263,0.72831
54400,2.073,-0.80517
54600,-1.3219,0.66535
54800,0.10151,2.2809
55000,0.69109,0.12442
55200,-1.8909,-0.86345
55400,-0.62394,-0.67985
55600,-0.0018609,1.1479
55800,1.1446,2.8036
56000,2.8727,0.079482
56200,0.44894,-2.5195
56400,-1.8402,-1.3195
56600,0.50855,2.3363
56800,3.6644,3.0938
57000,2.8349,1.1848
57200,-0.69741,-2.0655
57400,-3.4173,-1.4045
57600,-0.19225,0.59837
57800,-0.024631,2.9151
58000,1.8053,0.32038
58200,-2.1635,-2.7092
58400,-2.2306,1.1152
58600,2.2665,3.3118
58800,3.226,0.81773
59000,0.01398,-3.4097
59200,-5.8398,-1.2431
59400,-1.2638,2.875
59600,0.97969,0.76472
59800,-2.2893,-2.2963
60000,-2.9451,-1.7056
60200,-1.944,1.8533
60400,2.2024,0.91349
60600,1.8449,-0.11953
60800,0.70614,1.0182
61000,-0.017115,0.097333
61200,-0.037852,-0.79407
61400,-0.50587,0.19055
61600,1.0823,1.8957
61800,2.321,0.93828
62000,1.5084,-0.83801
62200,-0.95472,-1.4848
62400,-1.5349,-0.0065421
62600,1.1741,1.7993
62800,-0.084905,2.2279
63000,0.066425,-0.20268
63200,-2.2601,-3.0491
