Time (ms),x1,x2
0,-1.9184,-0.13863
200,-0.13107,0.43202
400,-0.093026,2.3965
600,2.3773,0.21616
800,1.7785,-0.084312
1000,0.66968,2.5612
1200,0.15292,-0.26037
1400,-0.27332,-0.081129
1600,-2.0815,-0.2649
1800,0.74371,1.2461
2000,1.7123,0.51203
2200,0.10678,1.3004
2400,-0.83748,0.75071
2600,0.96487,0.85309
2800,1.1656,-1.4915
3000,0.60857,-1.2662
3200,-0.37797,-1.5539
3400,-2.033,-1.8511
3600,-1.9813,0.5115
3800,-1.4403,1.3824
4000,-0.14423,0.22654
4200,0.6308,-1.0607
4400,0.31706,0.70355
4600,0.70064,2.1418
4800,0.016055,1.2756
5000,-0.034592,-0.65365
5200,-0.89837,-0.77297
5400,-1.5976,0.53668
5600,-1.0525,0.30053
5800,0.72673,1.0629
6000,1.1239,-0.69309
6200,0.7937,1.2219
6400,-0.60408,0.14801
6600,-1.428,-0.78909
6800,-0.18514,-1.4265
7000,0.88683,0.50674
7200,-0.63113,-0.041507
7400,-2.2964,-0.33731
7600,-0.33906,-0.47434
7800,0.6537,-1.1483
8000,0.43277,-1.0055
8200,0.42029,-0.30599
8400,0.013937,2.1782
8600,0.054474,0.30742
8800,0.50062,0.67309
9000,-1.2874,-0.77084
9200,-1.0867,0.57455
9400,-0.28349,1.1454
9600,0.64005,1.0017
9800,0.86669,0.55757
10000,-0.89245,-1.7581
10200,-0.83953,-0.72478
10400,-1.2302,0.55977
10600,-0.87952,-1.5689
10800,-0.018007,-0.94555
11000,1.2946,1.0708
11200,1.3782,0.44955
11400,0.71362,1.3841
11600,-1.475,0.031946
11800,-1.2069,1.1098
12000,0.91803,0.48956
12200,-0.99021,0.71414
12400,-0.5982,-1.2764
12600,-2.4826,-1.9339
12800,-1.8034,0.035833
13000,0.1289,-0.15457
13200,-0.89421,-1.8751
13400,0.081903,-1.0001
13600,0.61825,-0.46808
13800,1.3587,-0.89518
14000,1.1906,-1.4686
14200,-0.15595,-0.12929
14400,-0.25974,0.4437
14600,-0.13954,-0.65645
14800,-1.8823,1.0824
15000,-0.9234,-0.097032
15200,0.44433,-2.1181
15400,1.1047,-0.60281
15600,0.70844,0.84458
15800,-0.064247,-1.5839
16000,-3.0146,1.3179
16200,-0.53619,0.26309
16400,-0.093857,-0.87574
16600,-0.57163,-0.005327
16800,0.47091,-0.45352
17000,-0.0082046,0.81421
17200,-1.1933,1.6175
17400,-0.19073,0.84122
17600,0.089841,0.085104
17800,-0.98252,-1.7619
18000,0.92423,-1.3009
18200,0.73329,-0.19226
18400,-0.63043,-1.9258
18600,-2.0889,-1.6125
18800,-1.536,-0.14165
19000,1.3136,-1.1132
19200,2.162,-1.091
19400,-0.039564,0.085272
19600,-1.0944,0.32411
19800,0.11078,0.20728
20000,2.0735,2.4707
20200,1.2774,1.3911
20400,-0.75295,-0.50928
20600,-0.74954,-0.24336
20800,-1.3549,1.1384
21000,0.23272,2.1746
21200,-0.23936,1.2232
21400,-0.88223,-0.62855
21600,-2.5129,0.37467
21800,-2.3581,0.74359
22000,-0.38755,0.71088
22200,1.8701,0.085228
22400,2.5731,-0.26339
22600,-0.55956,0.0094103
22800,-1.7776,-0.56968
23000,-1.0291,0.42253
23200,-0.023948,0.13304
23400,0.61196,1.3293
23600,0.61814,1.1311
23800,-0.3326,0.43274
24000,-0.71966,1.3482
24200,-1.0637,1.2295
24400,-1.1417,0.57408
24600,0.55893,-0.86133
24800,-0.36063,1.0168
25000,-0.8368,0.26484
25200,-1.6239,-0.37383
25400,-0.15734,-0.10849
25600,-0.54942,1.0732
25800,-2.0201,0.45137
26000,-2.4847,-1.1085
26200,-0.3856,-0.65853
26400,2.8593,-0.89292
26600,1.5789,-0.47382
26800,0.78669,-1.3042
27000,1.5322,0.0119
27200,1.9738,-0.2108
27400,2.3827,-0.94829
27600,0.27842,-0.84466
27800,0.2819,1.1119
28000,-0.15844,-0.77705
28200,-1.7087,0.14174
28400,-1.4889,0.28918
28600,-0.0042233,-1.121
28800,2.4275,-0.32516
29000,2.5986,-0.91079
29200,1.1003,0.59516
29400,0.71481,0.8209
29600,-0.45433,0.069735
29800,-1.9146,-1.0504
30000,-1.8458,-0.84196
30200,-1.7117,-0.64568
30400,0.52253,0.23589
30600,0.9151,1.3816
30800,-0.75848,1.1496
31000,-1.1043,-0.2384
31200,-1.3152,-2.0695
31400,-0.79324,-1.3329
31600,1.3951,0.15975
31800,2.7853,-0.87991
32000,0.64765,-0.28511
32200,-1.0352,1.4751
32400,-0.55956,2.0965
32600,0.13648,0.65726
32800,-0.19173,1.7573
33000,0.83353,1.0313
33200,-0.75902,0.84259
33400,1.682,0.70621
33600,1.123,-0.36544
33800,0.51465,0.015765
34000,-0.79515,0.55901
34200,-1.7831,1.3517
34400,0.20383,-2.2218
34600,0.89448,-1.6557
34800,0.77551,1.1121
35000,0.3108,1.1511
35200,0.60364,0.45193
35400,2.0377,0.54305
35600,1.8503,1.301
35800,1.1677,-0.60929
36000,1.3162,0.098146
36200,1.3529,-1.7906
36400,-0.72952,-0.4149
36600,-1.316,0.15075
36800,-2.2546,1.3467
37000,-0.47016,-0.3458
37200,2.4752,0.30702
37400,3.5008,1.0825
37600,2.3815,-0.41266
37800,-0.67117,0.07958
38000,-2.1596,0.1139
38200,-1.0635,-0.14761
38400,-0.012421,-0.55393
38600,1.2846,-0.81372
38800,2.2186,-1.3567
39000,0.78805,-0.78895
39200,-0.40756,-1.0311
39400,0.49469,-0.27658
39600,0.99859,1.5852
39800,-1.179,0.20694
40000,-2.0363,0.8752
40200,-1.706,0.72984
40400,-1.7056,1.4819
40600,-0.69301,0.36512
40800,0.32856,-0.13808
41000,1.901,-0.22922
