,0,1
0,0,0
1,0.062791,0.12533
2,0.12533,0.24869
3,0.18738,0.36812
4,0.24869,0.48175
5,0.30902,0.58779
6,0.36812,0.68455
7,0.42578,0.77051
8,0.48175,0.84433
9,0.53583,0.90483
10,0.58779,0.95106
11,0.63742,0.98229
12,0.68455,0.99803
13,0.72897,0.99803
14,0.77051,0.98229
15,0.80902,0.95106
16,0.84433,0.90483
17,0.87631,0.84433
18,0.90483,0.77051
19,0.92978,0.68455
20,0.95106,0.58779
21,0.96858,0.48175
22,0.98229,0.36812
23,0.99211,0.24869
24,0.99803,0.12533
25,1,1.2246e-16
26,0.99803,-0.12533
27,0.99211,-0.24869
28,0.98229,-0.36812
29,0.96858,-0.48175
30,0.95106,-0.58779
31,0.92978,-0.68455
32,0.90483,-0.77051
33,0.87631,-0.84433
34,0.84433,-0.90483
35,0.80902,-0.95106
36,0.77051,-0.98229
37,0.72897,-0.99803
38,0.68455,-0.99803
39,0.63742,-0.98229
40,0.58779,-0.95106
41,0.53583,-0.90483
42,0.48175,-0.84433
43,0.42578,-0.77051
44,0.36812,-0.68455
45,0.30902,-0.58779
46,0.24869,-0.48175
47,0.18738,-0.36812
48,0.12533,-0.24869
49,0.062791,-0.12533
50,1.2246e-16,-2.4493e-16
51,-0.062791,0.12533
52,-0.12533,0.24869
53,-0.18738,0.36812
54,-0.24869,0.48175
55,-0.30902,0.58779
56,-0.36812,0.68455
57,-0.42578,0.77051
58,-0.48175,0.84433
59,-0.53583,0.90483
60,-0.58779,0.95106
61,-0.63742,0.98229
62,-0.68455,0.99803
63,-0.72897,0.99803
64,-0.77051,0.98229
65,-0.80902,0.95106
66,-0.84433,0.90483
67,-0.87631,0.84433
68,-0.90483,0.77051
69,-0.92978,0.68455
70,-0.95106,0.58779
71,-0.96858,0.48175
72,-0.98229,0.36812
73,-0.99211,0.24869
74,-0.99803,0.12533
75,-1,3.6739e-16
76,-0.99803,-0.12533
77,-0.99211,-0.24869
78,-0.98229,-0.36812
79,-0.96858,-0.48175
80,-0.95106,-0.58779
81,-0.92978,-0.68455
82,-0.90483,-0.77051
83,-0.87631,-0.84433
84,-0.84433,-0.90483
85,-0.80902,-0.95106
86,-0.77051,-0.98229
87,-0.72897,-0.99803
88,-0.68455,-0.99803
89,-0.63742,-0.98229
90,-0.58779,-0.95106
91,-0.53583,-0.90483
92,-0.48175,-0.84433
93,-0.42578,-0.77051
94,-0.36812,-0.68455
95,-0.30902,-0.58779
96,-0.24869,-0.48175
97,-0.18738,-0.36812
98,-0.12533,-0.24869
99,-0.062791,-0.12533
100,-2.4493e-16,-4.8986e-16
101,0.062791,0.12533
102,0.12533,0.24869
103,0.18738,0.36812
104,0.24869,0.48175
105,0.30902,0.58779
106,0.36812,0.68455
107,0.42578,0.77051
108,0.48175,0.84433
109,0.53583,0.90483
110,0.58779,0.95106
111,0.63742,0.98229
112,0.68455,0.99803
113,0.72897,0.99803
114,0.77051,0.98229
115,0.80902,0.95106
116,0.84433,0.90483
117,0.87631,0.84433
118,0.90483,0.77051
119,0.92978,0.68455
120,0.95106,0.58779
121,0.96858,0.48175
122,0.98229,0.36812
123,0.99211,0.24869
124,0.99803,0.12533
125,1,2.3887e-15
126,0.99803,-0.12533
127,0.99211,-0.24869
128,0.98229,-0.36812
129,0.96858,-0.48175
130,0.95106,-0.58779
131,0.92978,-0.68455
132,0.90483,-0.77051
133,0.87631,-0.84433
134,0.84433,-0.90483
135,0.80902,-0.95106
136,0.77051,-0.98229
137,0.72897,-0.99803
138,0.68455,-0.99803
139,0.63742,-0.98229
140,0.58779,-0.95106
141,0.53583,-0.90483
142,0.48175,-0.84433
143,0.42578,-0.77051
144,0.36812,-0.68455
145,0.30902,-0.58779
146,0.24869,-0.48175
147,0.18738,-0.36812
148,0.12533,-0.24869
149,0.062791,-0.12533
150,3.6739e-16,-7.3479e-16
151,-0.062791,0.12533
152,-0.12533,0.24869
153,-0.18738,0.36812
154,-0.24869,0.48175
155,-0.30902,0.58779
156,-0.36812,0.68455
157,-0.42578,0.77051
158,-0.48175,0.84433
159,-0.53583,0.90483
160,-0.58779,0.95106
161,-0.63742,0.98229
162,-0.68455,0.99803
163,-0.72897,0.99803
164,-0.77051,0.98229
165,-0.80902,0.95106
166,-0.84433,0.90483
167,-0.87631,0.84433
168,-0.90483,0.77051
169,-0.92978,0.68455
170,-0.95106,0.58779
171,-0.96858,0.48175
172,-0.98229,0.36812
173,-0.99211,0.24869
174,-0.99803,0.12533
175,-1,4.41e-15
176,-0.99803,-0.12533
177,-0.99211,-0.24869
178,-0.98229,-0.36812
179,-0.96858,-0.48175
180,-0.95106,-0.58779
181,-0.92978,-0.68455
182,-0.90483,-0.77051
183,-0.87631,-0.84433
184,-0.84433,-0.90483
185,-0.80902,-0.95106
186,-0.77051,-0.98229
187,-0.72897,-0.99803
188,-0.68455,-0.99803
189,-0.63742,-0.98229
190,-0.58779,-0.95106
191,-0.53583,-0.90483
192,-0.48175,-0.84433
193,-0.42578,-0.77051
194,-0.36812,-0.68455
195,-0.30902,-0.58779
196,-0.24869,-0.48175
197,-0.18738,-0.36812
198,-0.12533,-0.24869
199,-0.062791,-0.12533
200,-4.8986e-16,-9.7972e-16
201,0.062791,0.12533
202,0.12533,0.24869
203,0.18738,0.36812
204,0.24869,0.48175
205,0.30902,0.58779
206,0.36812,0.68455
207,0.42578,0.77051
208,0.48175,0.84433
209,0.53583,0.90483
210,0.58779,0.95106
211,0.63742,0.98229
212,0.68455,0.99803
213,0.72897,0.99803
214,0.77051,0.98229
215,0.80902,0.95106
216,0.84433,0.90483
217,0.87631,0.84433
218,0.90483,0.77051
219,0.92978,0.68455
220,0.95106,0.58779
221,0.96858,0.48175
222,0.98229,0.36812
223,0.99211,0.24869
224,0.99803,0.12533
225,1,1.1022e-15
226,0.99803,-0.12533
227,0.99211,-0.24869
228,0.98229,-0.36812
229,0.96858,-0.48175
230,0.95106,-0.58779
231,0.92978,-0.68455
232,0.90483,-0.77051
233,0.87631,-0.84433
234,0.84433,-0.90483
235,0.80902,-0.95106
236,0.77051,-0.98229
237,0.72897,-0.99803
238,0.68455,-0.99803
239,0.63742,-0.98229
240,0.58779,-0.95106
241,0.53583,-0.90483
242,0.48175,-0.84433
243,0.42578,-0.77051
244,0.36812,-0.68455
245,0.30902,-0.58779
246,0.24869,-0.48175
247,0.18738,-0.36812
248,0.12533,-0.24869
249,0.062791,-0.12533
250,2.3887e-15,-4.7774e-15
251,-0.062791,0.12533
252,-0.12533,0.24869
253,-0.18738,0.36812
254,-0.24869,0.48175
255,-0.30902,0.58779
256,-0.36812,0.68455
257,-0.42578,0.77051
258,-0.48175,0.84433
259,-0.53583,0.90483
260,-0.58779,0.95106
261,-0.63742,0.98229
262,-0.68455,0.99803
263,-0.72897,0.99803
264,-0.77051,0.98229
265,-0.80902,0.95106
266,-0.84433,0.90483
267,-0.87631,0.84433
268,-0.90483,0.77051
269,-0.92978,0.68455
270,-0.95106,0.58779
271,-0.96858,0.48175
272,-0.98229,0.36812
273,-0.99211,0.24869
274,-0.99803,0.12533
275,-1,-2.2056e-15
276,-0.99803,-0.12533
277,-0.99211,-0.24869
278,-0.98229,-0.36812
279,-0.96858,-0.48175
280,-0.95106,-0.58779
281,-0.92978,-0.68455
282,-0.90483,-0.77051
283,-0.87631,-0.84433
284,-0.84433,-0.90483
285,-0.80902,-0.95106
286,-0.77051,-0.98229
287,-0.72897,-0.99803
288,-0.68455,-0.99803
289,-0.63742,-0.98229
290,-0.58779,-0.95106
291,-0.53583,-0.90483
292,-0.48175,-0.84433
293,-0.42578,-0.77051
294,-0.36812,-0.68455
295,-0.30902,-0.58779
296,-0.24869,-0.48175
297,-0.18738,-0.36812
298,-0.12533,-0.24869
299,-0.062791,-0.12533
300,-7.3479e-16,-1.4696e-15
301,0.062791,0.12533
302,0.12533,0.24869
303,0.18738,0.36812
304,0.24869,0.48175
305,0.30902,0.58779
306,0.36812,0.68455
307,0.42578,0.77051
308,0.48175,0.84433
309,0.53583,0.90483
310,0.58779,0.95106
311,0.63742,0.98229
312,0.68455,0.99803
313,0.72897,0.99803
314,0.77051,0.98229
315,0.80902,0.95106
316,0.84433,0.90483
317,0.87631,0.84433
318,0.90483,0.77051
319,0.92978,0.68455
320,0.95106,0.58779
321,0.96858,0.48175
322,0.98229,0.36812
323,0.99211,0.24869
324,0.99803,0.12533
325,1,5.1448e-15
326,0.99803,-0.12533
327,0.99211,-0.24869
328,0.98229,-0.36812
329,0.96858,-0.48175
330,0.95106,-0.58779
331,0.92978,-0.68455
332,0.90483,-0.77051
333,0.87631,-0.84433
334,0.84433,-0.90483
335,0.80902,-0.95106
336,0.77051,-0.98229
337,0.72897,-0.99803
338,0.68455,-0.99803
339,0.63742,-0.98229
340,0.58779,-0.95106
341,0.53583,-0.90483
342,0.48175,-0.84433
343,0.42578,-0.77051
344,0.36812,-0.68455
345,0.30902,-0.58779
346,0.24869,-0.48175
347,0.18738,-0.36812
348,0.12533,-0.24869
349,0.062791,-0.12533
350,4.41e-15,-8.8199e-15
351,-0.062791,0.12533
352,-0.12533,0.24869
353,-0.18738,0.36812
354,-0.24869,0.48175
355,-0.30902,0.58779
356,-0.36812,0.68455
357,-0.42578,0.77051
358,-0.48175,0.84433
359,-0.53583,0.90483
360,-0.58779,0.95106
361,-0.63742,0.98229
362,-0.68455,0.99803
363,-0.72897,0.99803
364,-0.77051,0.98229
365,-0.80902,0.95106
366,-0.84433,0.90483
367,-0.87631,0.84433
368,-0.90483,0.77051
369,-0.92978,0.68455
370,-0.95106,0.58779
371,-0.96858,0.48175
372,-0.98229,0.36812
373,-0.99211,0.24869
374,-0.99803,0.12533
375,-1,5.3897e-15
376,-0.99803,-0.12533
377,-0.99211,-0.24869
378,-0.98229,-0.36812
379,-0.96858,-0.48175
380,-0.95106,-0.58779
381,-0.92978,-0.68455
382,-0.90483,-0.77051
383,-0.87631,-0.84433
384,-0.84433,-0.90483
385,-0.80902,-0.95106
