Time (ms),User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq,User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq
374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
450,0.000000,143.766769,143.766769,94.655518,28.870741,4.683337,39.142689,14.385435,1.000000,9.523678,9.523678,4.404348,4.513812,0.083399,0.000000,0.020246
574,0.000000,138.976532,138.976532,96.031258,22.622232,4.567961,39.632065,0.000000,1.000000,16.134815,16.134815,5.420365,9.825003,0.097739,0.000000,0.004505
638,0.000000,9.646563,9.646563,4.921645,3.424308,0.210734,2.704918,0.000000,1.000000,7.549394,7.549394,2.170434,4.156199,0.231534,0.000000,0.009867
870,0.000000,22.416927,22.416927,8.223558,12.061489,0.162028,4.442141,0.000000,1.000000,53.140320,53.140320,40.589005,11.965658,0.044447,20.985151,0.039493
970,0.000000,15.582436,15.582436,7.031558,6.179162,0.356783,3.824629,0.000000,1.000000,19.775337,19.775337,14.996140,4.013794,0.149921,5.967145,0.042855
1074,0.000000,8.473763,8.473763,3.765316,1.547106,0.727575,1.214221,0.000000,1.000000,29.315605,29.315605,27.421432,1.190795,0.184412,12.093011,0.028214
1274,0.000000,21.399454,21.399454,7.815369,7.234912,3.991980,2.558901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1338,0.000000,27.057575,27.057575,8.635622,15.476185,1.549698,2.111807,9.300312,1.000000,26.940727,26.940727,21.419910,3.939385,0.453952,11.187569,0.062467
1438,0.000000,13.945158,13.945158,3.277866,7.511456,0.697914,0.759449,4.490395,1.000000,37.996868,37.996868,19.631641,17.946379,0.134646,10.937814,0.015111
1550,0.000000,8.020109,8.020109,1.564245,4.004889,0.402587,0.593345,0.000000,1.000000,10.702127,10.702127,6.495419,3.893024,0.099203,3.126480,0.021525
1674,0.000000,5.430740,5.430740,3.684050,0.797422,0.149722,1.006176,0.000000,1.000000,5.166424,5.166424,2.235298,2.711303,0.045717,0.741659,0.023364
1774,0.000000,16.794922,16.794922,15.691177,0.477352,0.149872,5.816826,0.000000,1.000000,6.384369,6.384369,2.720265,3.567745,0.017558,1.396768,0.021617
1874,0.000000,12.415747,12.415747,4.371409,7.223400,0.227232,3.109049,0.000000,1.000000,3.731645,3.731645,2.659564,0.938007,0.017452,0.666397,0.011752
1970,0.000000,23.802549,23.802549,3.818845,19.525351,0.066256,0.883816,0.000000,1.000000,9.551971,9.551971,2.143468,7.156183,0.090617,0.000000,0.004662
2038,0.000000,14.329114,14.329114,3.451503,10.057261,0.086950,0.748208,0.000000,1.000000,37.391300,37.391300,26.761703,10.282263,0.138522,15.570946,0.001600
2138,0.000000,13.374839,13.374839,11.535978,1.530646,0.045969,6.683955,0.000000,1.000000,32.309246,32.309246,29.626041,2.118264,0.224421,15.624668,0.179082
2234,0.000000,3.036543,3.036543,1.902199,0.827564,0.107551,0.972504,0.000000,1.000000,107.062813,107.062813,94.205368,12.264921,0.277177,52.730267,0.102284
2350,0.000000,18.790512,18.790512,13.147038,0.536665,0.763433,5.379188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2470,0.000000,6.623475,6.623475,3.873714,0.407721,0.412457,2.242651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2570,0.000000,6.949870,6.949870,1.957226,1.012169,0.342294,0.774127,0.000000,1.000000,30.639526,30.639526,18.199886,10.468903,0.779926,6.428865,0.183303
2670,0.000000,4.106939,4.106939,0.762012,2.209607,0.180457,0.372340,0.000000,1.000000,17.267454,17.267454,7.528511,9.105695,0.308510,2.731641,0.051184
2770,0.000000,5.272030,5.272030,3.409821,1.209148,0.111751,2.145540,0.000000,1.000000,27.081518,27.081518,18.410057,6.097842,0.290734,1.929795,0.083319
2870,0.000000,4.397757,4.397757,2.567493,0.430679,0.631822,1.170230,0.000000,1.000000,10.009964,10.009964,3.024314,5.109590,0.207544,0.160216,0.116579
2934,0.000000,19.937092,19.937092,1.775188,16.099585,0.542879,0.397868,0.000000,1.000000,3.712744,3.712744,0.266390,1.479187,0.100608,0.135274,0.193923
3050,0.000000,15.908192,15.908192,1.331422,11.376272,1.556072,0.309504,0.000000,1.000000,13.179646,13.179646,1.858923,9.472157,0.019377,0.403450,0.472186
3170,0.000000,19.189976,19.189976,11.005028,4.602726,1.439904,3.192541,0.000000,1.000000,53.149651,53.149651,40.239449,11.182570,0.280961,17.273123,0.514033
3250,0.000000,137.450027,137.450027,90.035660,22.918716,4.596571,37.021877,0.000000,1.000000,10.534046,10.534046,4.569179,4.597641,0.392035,0.000000,0.224343
3370,0.000000,141.655624,141.655624,88.739517,25.583027,6.091392,36.038559,0.000000,1.000000,9.286240,9.286240,4.867396,2.708453,0.649732,0.000000,0.260931
3466,0.000000,18.104593,18.104593,5.125802,9.262352,1.417047,0.575896,4.830188,1.000000,18.237808,18.237808,9.894030,7.522856,0.417894,0.000000,0.151057
3566,0.000000,8.709258,8.709258,2.373439,3.130554,1.488139,0.522158,1.361694,1.000000,17.248466,17.248466,13.625912,2.545537,0.340408,0.000000,0.094501
3634,0.000000,13.733060,13.733060,8.326048,2.222770,1.431228,4.382266,0.766397,1.000000,7.960387,7.960387,2.723968,4.039259,0.323833,0.000000,0.064540
3734,0.000000,12.993028,12.993028,1.931774,7.817066,1.473775,0.424422,6.429267,1.000000,4.095672,4.095672,1.105016,1.612061,0.324616,0.000000,0.049544
3850,0.000000,11.049223,11.049223,3.806082,3.483808,1.314462,2.247873,2.102732,1.000000,17.775860,17.775860,10.669394,5.802356,0.378859,0.000000,0.060867
3970,0.000000,15.136471,15.136471,2.164780,10.724586,0.892073,1.128195,9.453493,1.000000,6.768149,6.768149,2.988040,3.216012,0.267944,0.000000,0.045995
4070,0.000000,60.802986,60.802986,5.184223,53.610859,0.918859,4.534297,35.410332,1.000000,17.243708,17.243708,13.166005,3.237362,0.135604,0.000000,0.027417
