sample,_AU25,_AU26
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,1
12,0,1
13,0,0
14,1,0
15,1,0
16,1,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,1,0
25,0,0
26,1,0
27,1,0
28,1,0
29,2,0
30,2,1
31,3,1
32,3,1
33,3,2
34,3,2
35,3,3
36,3,4
37,3,4
38,3,5
39,3,5
40,3,5
41,3,5
42,3,5
43,3,5
44,3,5
45,3,5
46,3,5
47,3,5
48,3,5
49,3,5
50,3,5
51,3,5
52,3,5
53,3,5
54,3,5
55,3,5
56,3,5
57,3,4
58,3,4
59,3,4
60,3,4
61,3,4
62,3,4
63,3,4
64,3,4
65,3,4
66,3,4
67,3,4
68,3,4
69,3,4
70,3,4
71,3,4
72,3,5
73,3,5
74,3,5
75,3,5
76,3,5
77,3,5
78,3,5
79,3,5
80,3,5
81,3,5
82,3,4
83,3,4
84,2,3
85,2,3
86,2,3
87,2,3
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,1,2
95,1,3
96,1,3
97,1,3
98,0,2
99,0,2
100,0,2
101,0,2
102,0,2
103,1,3
104,1,3
105,1,3
106,1,3
107,1,3
108,1,3
109,1,3
110,1,3
111,1,3
112,1,3
113,1,3
114,1,3
115,1,3
116,1,3
117,1,3
118,1,3
119,1,3
120,1,3
121,1,3
122,1,3
123,1,3
124,1,3
125,1,3
126,1,3
127,1,3
128,1,3
129,1,3
130,1,3
131,1,3
132,1,3
133,1,3
134,1,3
135,1,3
136,1,3
137,1,3
138,1,3
139,1,3
140,1,3
141,1,3
142,1,3
143,1,3
144,1,3
145,1,3
146,1,3
147,1,3
148,1,3
149,1,3
150,1,3
151,1,3
152,1,3
153,1,3
154,2,3
155,2,3
156,2,3
157,2,2
158,2,2
159,3,1
160,3,1
161,3,1
162,3,1
163,3,1
164,3,1
165,3,1
166,3,2
167,3,2
168,2,3
169,2,3
170,3,4
171,2,4
172,2,4
173,2,4
174,3,4
175,3,3
176,3,3
177,3,2
178,3,2
179,3,1
180,3,1
181,3,1
182,3,1
183,3,2
184,3,2
185,3,3
186,3,3
187,3,3
188,2,3
189,2,2
190,2,2
191,2,1
192,2,1
193,2,1
194,2,1
195,2,1
196,2,1
197,2,1
198,2,1
199,2,1
200,2,1
201,2,1
202,2,1
203,2,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
